Time,Filt_X,Filt_Y,Filt_Z
1776442287.423,0.0417,0.2926,0.4161
1776442287.524,0.0170,0.4231,0.4003
1776442287.691,-0.0498,0.5118,0.4001
1776442287.724,-0.1466,0.5794,0.4047
1776442287.868,-0.2390,0.6431,0.4123
1776442287.924,-0.3153,0.7001,0.4217
1776442288.050,-0.3504,0.7619,0.4497
1776442288.123,-0.3696,0.8313,0.4624
1776442288.226,-0.3925,0.8963,0.4656
1776442288.394,-0.4177,0.9542,0.4587
1776442288.424,-0.4444,0.9858,0.4457
1776442288.565,-0.4631,1.0103,0.4379
1776442288.625,-0.4682,1.0353,0.4421
1776442288.728,-0.4652,1.0473,0.4492
1776442288.883,-0.4574,1.0562,0.4624
1776442288.924,-0.4424,1.0588,0.4527
1776442289.048,-0.4943,1.0757,0.4468
1776442289.125,-0.5289,1.0703,0.4299
1776442289.225,-0.5574,1.0472,0.4242
1776442289.367,-0.5956,1.0224,0.4209
1776442289.424,-0.6351,0.9925,0.4191
1776442289.531,-0.6754,0.9552,0.4047
1776442289.623,-0.7516,0.9093,0.3873
1776442289.725,-0.8450,0.8674,0.3770
1776442289.843,-0.9264,0.8192,0.3710
1776442289.923,-1.0224,0.7719,0.3676
1776442290.023,-1.1095,0.7166,0.3614
1776442290.166,-1.2041,0.6476,0.3668
1776442290.226,-1.2899,0.5707,0.3791
1776442290.328,-1.3303,0.4849,0.3957
1776442290.423,-1.3564,0.3938,0.4013
1776442290.524,-1.3651,0.3044,0.4048
1776442290.645,-1.3634,0.2118,0.4158
1776442290.723,-1.3602,0.1176,0.4313
1776442290.824,-1.3605,0.0225,0.4451
1776442290.961,-1.3411,-0.0683,0.4622
1776442291.024,-1.3143,-0.1564,0.4723
1776442291.125,-1.2789,-0.2516,0.4650
1776442291.276,-1.2474,-0.3464,0.4470
1776442291.324,-1.2274,-0.4409,0.4227
1776442291.434,-1.2056,-0.5350,0.3990
1776442291.526,-1.1873,-0.6287,0.3804
1776442291.624,-1.1758,-0.6821,0.4181
1776442291.764,-1.1551,-0.7467,0.4232
1776442291.827,-1.1378,-0.8047,0.4130
1776442291.929,-1.0961,-0.8498,0.4069
1776442292.024,-1.0620,-0.8917,0.4165
1776442292.124,-0.9970,-0.9140,0.4179
1776442292.240,-0.9003,-0.9423,0.4010
1776442292.324,-0.8158,-0.9522,0.4131
